291	333
295	333
301	333
307	333
311	333
317	333
323	333
327	333
333	333
339	333
345	333
351	333
372	333
484	333
493	333
652	333
666	333
674	333
710	333
712	333
727	333
729	333
887	333
1339	333
1342	333
1345	333
1744	333
1746	333
1748	333
1750	333
1907	333
289	331
294	331
299	331
305	331
309	331
315	331
321	331
326	331
331	331
337	331
343	331
349	331
353	331
355	331
371	331
483	331
492	331
651	331
665	331
673	331
709	331
711	331
726	331
728	331
886	331
1338	331
1341	331
1344	331
1743	331
1745	331
1747	331
1749	331
1906	331
167	207
254	207
3	207
63	207
71	207
78	207
92	207
118	207
162	207
173	207
209	207
249	207
257	207
265	207
271	207
469	207
1203	207
1221	207
2	207
70	207
77	207
91	207
117	207
161	207
208	207
248	207
256	207
264	207
270	207
170	192
171	192
172	192
174	192
192	192
1	207
69	207
76	207
83	207
90	207
116	207
146	207
160	207
168	207
169	207
175	207
207	207
247	207
255	207
263	207
269	207
467	207
1210	207
1716	1716
1730	1716
1719	1719
1728	1719
1718	1718
1724	1718
1731	1731
1733	1731
1717	1717
1723	1717
62	215
369	215
663	215
1904	215
370	215
664	215
1905	215
215	215
40	215
68	215
147	215
662	215
1903	215
66	215
196	219
204	219
219	219
1911	219
65	215
39	39
178	39
205	39
217	39
4	207
72	207
93	207
119	207
163	207
210	207
250	207
258	207
272	207
468	468
475	468
1260	468
1340	468
94	207
7	207
75	207
82	207
96	207
122	207
166	207
213	207
253	207
261	207
268	207
275	207
471	207
1209	207
1226	207
64	220
1155	220
1156	220
195	220
206	220
220	220
661	220
1208	220
1910	220
1157	220
392	392
458	392
459	392
8	8
144	8
177	8
216	8
103	103
145	103
179	103
218	103
6	207
74	207
81	207
95	207
121	207
165	207
212	207
252	207
260	207
267	207
274	207
470	207
1204	207
1222	207
